a,b,c
-1.644191004525797251e+00,-1.951724944552878149e+00,-1.967432086080939113e+00
-6.772139452418578509e-01,8.658346819194995270e-01,-3.963781845967451201e-02
-5.385645888978544127e-01,-3.739262907705601102e-01,-8.224612041539757223e-01
9.008241795562474397e-02,-8.557740376220464018e-01,-1.834345226487592018e-01
-1.288330625253279182e-01,-3.564477265963074681e-01,2.073151530024470168e-01
3.348831911507165193e-01,1.062219376302976803e+00,4.120017516367010524e-01
-6.747419898491161527e-01,4.236756293955720731e-01,-1.053310249694838552e+00
-2.287079879522180725e+00,9.104238561713505762e-01,-5.221163822699073087e-01
1.387437509522011281e+00,-9.641161010793533048e-01,9.332650378212273834e-01
-1.036871236395801865e-01,2.689182562250970188e-01,-3.320673013902523119e-01
9.377955970614894055e-01,4.739615198441696209e-01,3.618999488292067301e-01
3.691575098253837006e-01,-9.944615271485476304e-01,-2.437172515838565701e-01
-3.278507727912718939e-01,1.139890734780964809e+00,2.166540157790612042e+00
4.313998089774979672e-01,6.879038973503961429e-01,-1.638251719566110320e-01
-1.940449675723260547e+00,3.042746229895612053e-01,-5.610702719836517804e-01
-5.871203116122446497e-01,-1.992883615119553475e+00,-1.316121114489354982e+00
4.515006316923566021e-01,-2.031586630308980457e+00,-1.215426891821855815e+00
-5.034947204158872758e-01,-1.050769250755509310e+00,-1.248511957836576203e+00
-1.287972492493280052e+00,-2.501299453049158572e+00,2.231864686141828702e-01
-1.582654029841263466e+00,-1.299472037399515001e+00,-1.033096857316578632e+00
1.213614187535734246e+00,7.135429893104043853e-01,3.616826183835862851e-01
1.277678236029087033e+00,1.700698896385677950e+00,1.012015763496031395e-01
-9.038846619819926875e-01,1.753506914760897706e+00,2.746834739641028644e-01
-2.345603978278462676e-01,-8.226561592757158925e-01,-6.944566264349684159e-01
1.585270775021203171e+00,9.811566348929113834e-01,1.197764472801893687e+00
-5.824984661609993175e-01,1.625511151897315765e+00,3.696969454469697380e-01
1.211117667582339852e+00,3.554567331733501923e-01,-4.261069419227477839e-01
-8.724655140252368657e-01,-1.736967530155201361e-02,-7.346170810264037732e-01
-3.599893166813124545e-01,1.578245683973967362e+00,9.137928439928071356e-01
4.925472671338431696e-01,-1.004811048424976594e+00,-1.564309150160371864e+00
2.750134652969662863e+00,1.360047404407998650e+00,1.325123384767643353e+00
-7.639387765829450672e-01,-4.904923122864291996e-01,1.030720896004177073e-01
-4.106033358380982712e-01,-6.183726464871556194e-01,-4.112918108211188750e-02
-1.990643181083522784e+00,-1.794357859804174560e-01,-1.557732704302450255e+00
4.144094619624626996e-01,-1.290523039506924929e+00,-1.233025054228890777e-01
1.185204636630572850e+00,1.578196646032699046e+00,2.411589880866420454e+00
-4.722580204595543951e-01,2.881375901201721490e-01,1.004966850317762450e+00
-7.951257145923852354e-01,-3.872609118051444921e-01,-1.147021285909646693e+00
