a,b,c
2.021743795134522959e-01,-8.662613224754586172e-01,-2.446318156413798128e-01
-5.666709199079015269e-01,-7.187488285804076726e-01,-1.864151952156809067e+00
-1.375886906815781519e+00,-1.292440620910810800e+00,-1.832958577078183937e-01
6.367181484372957945e-01,2.320812453062863323e+00,1.110363084129032174e+00
-2.252523208716465941e+00,-1.671319672377399090e+00,-9.708631796003699410e-01
2.706249917291775886e-01,-1.093229584795332165e+00,1.820815345593981283e-01
-1.228557029649737675e+00,1.607674006528063138e-01,-4.959626219465033681e-01
-4.778043898048058846e-01,-7.599683452901681013e-01,8.199225748454984364e-02
-1.475756909865867106e-01,1.543646618066128184e-01,9.988647608785353182e-02
-8.400115962234970812e-01,1.158316650735997211e+00,7.040219001362257867e-01
