a,b,c
-2.375233569266520295e+00,9.694403728524405572e-01,3.365141404725040530e-01
6.788730048202128442e-01,2.296576297631969243e+00,1.673455728696165767e+00
-2.579460046801734796e-01,4.685167159813503068e-01,1.844261285245493431e-01
-8.217625515263050906e-02,1.420344371553971863e+00,1.418249090938054735e+00
2.532639854839326965e-01,1.518848931640791822e+00,8.937512731892274243e-01
8.999802874446038992e-01,-1.250989596356913092e+00,-2.259199356336655529e-01
1.809255440135342008e+00,1.088011345424400700e+00,8.093266174248103795e-01
-1.326723849359817242e+00,-4.012555573290239180e-02,-8.043897328121263346e-01
-2.458554936456031903e-01,-3.136041871847888296e-01,4.509440775088835104e-03
3.809685122108944499e-01,-9.325606990291014364e-01,-9.773250772799623176e-01
