a,b,c
-2.996190520103029775e-01,4.125688831497655862e-01,3.447585907579471809e-01
-1.080275182549574053e-01,1.050913432255433211e+00,-3.590406523691105911e-01
7.269108579499213851e-01,-4.554996459840002787e-01,3.915756697014016741e-01
-3.231030671259007558e-01,-8.678652278423260036e-01,-2.134900540232861577e+00
2.108929991002175264e+00,3.156179990556364223e-01,8.900774976946099759e-01
9.617531042494099902e-02,-9.780878516729726302e-01,-5.143375353142261991e-02
-8.627109788880042984e-01,-7.919214939348423465e-02,-4.482287667194962411e-01
3.601865040512428617e-01,5.289432078299816098e-01,-1.416033267176065036e-01
3.355679178720591405e-01,1.071906335597224480e+00,1.708561411840604505e-01
2.184981342590142539e+00,1.119956142350849060e+00,5.453059506017001734e-01
-1.979041115112719074e-01,-2.633856542850742111e-01,-6.923131304926948282e-01
-5.196058110811671016e-01,1.144460018014740454e-01,-1.375878815252079557e+00
-1.916846345468549373e+00,-8.578318176623656033e-01,-2.213933625901468361e+00
-1.573926361832777565e-01,-7.049068367593329665e-01,-1.273208158939459045e+00
-8.578265486430733944e-01,-1.144693539070311905e+00,-1.153828760281885302e+00
-1.191745862153870794e+00,-3.823009112514221264e-01,-9.421875224698579299e-01
2.963597808996961680e-01,4.559101257954000230e-01,1.806592588847371728e+00
-1.769383237110083940e+00,-1.805729541974329777e+00,-7.151238220049783711e-01
1.949886721639852161e-01,1.317239934558844583e+00,5.191734469175306455e-01
-3.024156075017595535e-01,-7.725650784698775420e-01,6.032499264871612477e-01
-1.072794772551610709e+00,-1.298864180083357800e+00,-1.744356470350128863e+00
-1.887144130136255038e+00,-5.309234743501506371e-02,-1.585076278085346013e+00
-5.555721561447497098e-02,-1.984276444548882523e+00,-1.385999999923237302e+00
2.019881380812407201e+00,2.361008309737915312e+00,2.080080075068038159e+00
9.646973377992714704e-01,8.741741947479515773e-02,9.445125352997100210e-01
4.139569842788170528e-01,-3.166798065687873587e-01,-2.640017408181332681e-01
7.444457238055491866e-01,-2.641675782574454123e-01,8.206186765962563134e-01
1.782084805576721609e-01,7.622668052455273680e-01,4.568803959397704090e-02
-9.430331005070857753e-02,8.744824461788868186e-01,4.383257547899307993e-01
-1.068572017182977119e-01,1.139123489455722504e+00,7.767427568857441234e-01
6.328765041506112521e-01,-5.185068381661926962e-01,3.990327583373401987e-01
3.702850175800618815e-01,-6.381463162786005228e-01,-1.199562996317831809e+00
-7.570080834002718140e-01,2.718098532463293360e-01,-6.055846990805930918e-01
-5.417609279055739524e-01,-6.854847374828570983e-01,-8.085546209259719674e-02
-6.159257150323955710e-01,5.226680351891372922e-01,5.271776379815275027e-01
1.905197453452892153e+00,9.488882874241014731e-01,2.177063613187699254e+00
4.527056281663706661e-01,-8.504259127056938983e-01,-9.342812779068582901e-03
1.251996961488187621e+00,-1.201736241166294850e+00,8.493135663640637434e-01
-8.667876617435171793e-01,-2.790320776041690820e+00,-1.705661851343179602e+00
-1.306691622588937118e+00,-7.021483593945511137e-01,-1.731449753952487791e+00
-9.160903653774949973e-01,4.842845337464042332e-01,1.765334801069378956e-01
-1.393738584128699998e+00,-9.246801138106501838e-01,-4.238052656487665826e-01
-2.949701824628085944e-01,-1.229847261253879775e+00,-1.988539643963004755e+00
-2.140342804634423057e+00,-1.279187973356585406e+00,-1.794670622120958958e+00
5.981767112214967375e-01,1.015219755596082907e+00,8.648603053596871648e-01
-1.340543981504773718e+00,1.291718100808234571e+00,1.925919121958979685e-01
5.035050693827911039e-02,5.151827383521779824e-01,-1.822900495290961931e-01
8.680985786806600935e-01,2.525089492804686309e+00,9.053770264798751688e-01
1.143222135940977324e+00,1.316724253959342672e+00,-2.190185008166088132e-01
1.959020010385706390e-01,9.572211070039385872e-01,5.397945798914017823e-01
-1.756045144415580850e-01,-1.164236641731992705e+00,-1.231239211922029675e+00
-8.160321039730548121e-01,-8.789733869685010248e-01,-1.389696470082349311e+00
4.038960890382757851e-01,3.438743253735805916e-01,5.295526647699899669e-02
8.436293164702650671e-01,-8.167180701381017149e-01,-1.771017236933645489e-01
-1.219619926457561565e+00,-2.084861714311942935e-02,-1.231637124535706063e+00
-6.512805839219663051e-01,1.958338561438957903e+00,5.439782122020777599e-01
-2.036580524180824636e-01,6.783404048942507369e-01,2.175455078245440710e-01
-2.230971082702513097e+00,-4.540596870877190022e-02,-2.455985110940658300e-01
2.569732670205535086e-01,-7.131696466251500333e-01,-8.502294552213596202e-01
5.544175150060108859e-01,1.212867044070079947e+00,1.085846988859281437e+00
-1.741581558058874046e+00,1.094300056030850010e+00,-2.224338710024805765e-01
1.087880735296286927e+00,2.205227059273935364e+00,1.150860426141014692e+00
-8.216404759668872737e-01,-5.832103573854544587e-01,-9.847991507133510014e-01
-9.604211717588968522e-01,-8.403307943784623646e-01,6.436284726892985142e-02
-2.539318157592870828e-01,1.345431385672616553e+00,8.662060785129838125e-01
-2.464004871840621558e+00,-2.135450029703495067e-01,-1.117029429212720748e+00
-5.101385542028819692e-02,1.903661291425445601e+00,-2.442415825363103143e-01
-8.362991473462536018e-02,-1.261373207184625533e+00,-1.344928150215510376e+00
1.080932781622498950e+00,-6.967160991057256281e-01,-2.664722748170801347e-01
-5.579461665603968612e-01,-1.225865298268998815e+00,-1.074489727481627188e+00
8.348298178906587985e-01,-3.226604500755043126e-01,2.436799096867527381e-01
8.756365538546703187e-01,-1.363196399482637267e+00,-1.449627828457239198e-01
1.592456492753825947e-01,-5.642598423888238734e-01,6.884907268163374672e-02
2.471107691952509011e+00,1.859487394354043310e+00,1.020120329909742551e+00
1.594412513275683951e-01,-8.060571279758151908e-01,8.843652612931938994e-02
-2.126496266916692579e-01,-5.755983739730040627e-01,-1.983108358266929827e-01
-8.164288240237890237e-01,-2.305430903617278551e-02,1.624962850011927029e-01
-1.328269685325722316e+00,-1.124370360369351118e+00,-1.525746681023931295e+00
