a,b,c
-8.978466990675478820e-01,-5.676267466235275228e-01,-6.615009529536087785e-01
-4.198781425650059407e-01,8.195082978245600280e-01,2.959809207196419933e-01
2.656961787177886780e+00,5.910747347724134571e-01,2.240673299108221883e+00
5.833899502202767318e-01,6.559841803437631569e-01,3.600553641741806032e-01
1.171231375273718706e-01,8.930413591445217625e-01,1.840351936051944470e+00
7.576026554981468708e-01,2.137602487019807374e+00,1.482565738376582454e+00
-4.699206676686116801e-01,-1.238122386025223065e+00,5.875640452588760942e-02
1.520497297117321622e+00,1.630444414870810155e+00,1.463063048589544390e+00
-5.731577039500433957e-01,-7.457863462210890804e-01,-1.717245039982419508e+00
7.773836480170212004e-01,-7.874552985852391052e-01,-3.494967138902635440e-01
