a, b, c
8.674766096652170022e-01,-4.743236752477319462e-01,2.542579241643020804e-03
7.222243871177559393e-01,7.943996615040072040e-01,1.335966940222760524e+00
8.740176741807398342e-01,-9.409073411105647322e-01,1.692409586170628699e-01
8.496695650579194625e-01,4.340097448480658704e-01,-2.752514683805635798e-01
3.299715963100334215e-01,9.764333265384453342e-02,-6.782843554953701393e-01
9.082258026309216747e-01,1.009657487192503034e+00,6.031679332843805641e-01
-7.542199335683570371e-01,2.942343594444617461e-01,-4.984476264234219967e-01
-4.245092634491138828e-01,-1.419219008678283434e+00,-5.081457785097777125e-01
1.993836731674061058e+00,9.084814836330577792e-02,4.004749336705093476e-01
-9.923668316870473682e-02,-5.894825952538501612e-01,-1.030574135649696244e+00
-6.655533485835212204e-01,-6.836455207056055250e-02,-1.038338313763988330e+00
2.188414602452226909e-01,-1.211654406389787580e-01,-6.237661559158841351e-01
1.292487836587487005e-01,-1.042948508909584904e+00,-3.453425609947846087e-01
-1.207510310028111045e+00,-1.384827880567389480e+00,-1.759105304631302380e-01
-9.088683957659662305e-01,1.399737435567714128e+00,7.452054161401304444e-02
-1.764702780288148531e+00,-1.672575063912418836e+00,-2.039137870986212242e+00
1.491252971919372561e+00,-5.096182185953316290e-01,6.686461349337223803e-01
4.553477587889450534e-02,-8.254373607876055452e-01,8.067765049195616545e-01
-6.544538818631918664e-01,-9.011847981606366798e-01,8.006936615604096641e-01
-1.162487278418972370e+00,2.461314814279804419e-01,-9.649483629120925166e-01
