a, b, c
1.773577720768878097e+00,4.137105300929406759e-01,5.859149639802443410e-01
-7.478129024176939366e-01,-1.591428833654736641e+00,-2.996541564716704631e+00
3.888346064475012853e-01,6.511988569726073761e-01,3.945727945805923009e-01
4.241813420461307271e-01,1.685513050637457155e+00,1.353555793936080720e+00
1.045353188127251531e+00,5.890035750671606118e-01,4.005238573543660752e-01
-7.658558167623348290e-01,-3.282247442683026151e-01,-1.614378854352893189e+00
-1.338918768133017023e+00,5.600155926300823817e-01,-2.560171462098026485e-01
-1.908893183197679200e+00,5.045476332747673709e-01,-3.208543425051254006e-01
-1.256162720382155984e-01,-1.332101502050705877e+00,-1.479537129188790656e+00
-5.143353334955914624e-01,4.603474935926653577e-01,-9.575598188762741714e-01
2.163521229216470942e+00,1.134744916027844441e+00,2.416454819077809901e+00
1.391400589898274642e+00,1.782954344770423916e+00,2.187005806435696087e+00
-1.585478736524741139e+00,-7.346694298629495579e-02,4.257012429386470842e-01
4.124231392366914939e-01,-8.225633377532205748e-02,3.603159323894207233e-01
-3.836771665476338966e-01,-8.090203039065652080e-01,-9.805212283273895268e-01
4.777722336740564679e-01,-1.444106534825292387e+00,-3.269432172602370398e-03
2.804854318224369036e-01,1.404804839861963917e+00,1.934354384361549051e-01
6.083530317673367938e-01,1.788870400902681013e+00,2.038811600301782823e-01
-1.091208602725379118e+00,8.102008600547705441e-02,-6.237691887711999117e-01
-3.314418539519180251e-02,2.406334503944623560e+00,1.304778017592302497e+00
